 type   sat      day     hms     lat     lon     pre   spd   dir   rff    qi  int
IR     MTSAT   20131107  0513   20.16  -120.44   887   13.0   68  69.58  1.00  15
IR     MTSAT   20131107  0513   20.11  -121.08   906   12.9   65  81.59  0.72  15
IR     MTSAT   20131107  0513   20.05  -122.14   906   13.3   60  76.10  0.94  15
IR     MTSAT   20131107  0513   19.77  -123.62   906   13.6   60  70.12  1.00  15
IR     MTSAT   20131107  0513   19.72  -124.25   887   12.3   57  84.15  0.95  15
IR     MTSAT   20131107  0513   19.87  -124.80   887   13.0   60  77.42  0.92  15
IR     MTSAT   20131107  0513   20.00  -126.37   887   12.1   67  76.05  0.91  15
IR     MTSAT   20131107  0513   19.57  -132.51   793   12.3  114  79.20  0.88  15
IR     MTSAT   20131107  0513   19.92  -133.19   812   13.1  119  64.58  0.89  15
IR     MTSAT   20131107  0513   19.55  -134.80   337    4.4  200  67.55  0.65  15
IR     MTSAT   20131107  0513   19.55  -134.88   287    4.6  202  59.62  0.74  15
IR     MTSAT   20131107  0513   19.50  -136.43   337    7.5  222  70.71  0.86  15
IR     MTSAT   20131107  0513   19.54  -136.58   312    9.0  222  73.10  0.74  15
IR     MTSAT   20131107  0513   19.54  -137.47   287    5.0  215  56.15  0.89  15
IR     MTSAT   20131107  0513   19.53  -138.66   275    9.2  246  72.66  1.00  15
IR     MTSAT   20131107  0513   19.53  -138.89   275    8.7  254  71.58  0.95  15
IR     MTSAT   20131107  0513   19.73  -141.32   887    8.6  110  78.49  0.86  15
IR     MTSAT   20131107  0513   19.97  -142.41   887    7.9  102  78.90  0.97  15
IR     MTSAT   20131107  0513   19.86  -143.64   906    8.9   90  82.24  0.98  15
IR     MTSAT   20131107  0513   19.54  -116.53   868   13.4   61  71.70  0.87  15
IR     MTSAT   20131107  0513   19.35  -117.44   868   15.6   71  61.38  0.92  15
IR     MTSAT   20131107  0513   19.52  -118.97   868   16.5   66  81.94  0.96  15
IR     MTSAT   20131107  0513   19.30  -119.77   850   16.7   74  78.65  0.98  15
IR     MTSAT   20131107  0513   19.41  -120.13   868   15.5   75  71.87  0.99  15
IR     MTSAT   20131107  0513   19.52  -120.62   868   15.8   78  73.09  0.95  15
IR     MTSAT   20131107  0513   19.22  -121.21   850   16.2   80  69.52  0.99  15
IR     MTSAT   20131107  0513   19.05  -121.94   887   12.6   75  80.85  0.99  15
IR     MTSAT   20131107  0513   19.49  -123.74   887   12.6   61  78.75  0.95  15
IR     MTSAT   20131107  0513   19.08  -133.54   187    5.0  204  52.42  0.69  15
IR     MTSAT   20131107  0513   18.99  -135.44   225    4.7  146  49.95  0.66  15
IR     MTSAT   20131107  0513   18.99  -135.48   225    4.6  147  50.13  0.68  15
IR     MTSAT   20131107  0513   19.30  -137.13   312    6.6  212  73.89  0.82  15
IR     MTSAT   20131107  0513   18.98  -137.67   275    7.5  232  70.28  0.90  15
IR     MTSAT   20131107  0513   19.26  -138.28   300    5.5  239  73.70  0.92  15
IR     MTSAT   20131107  0513   19.33  -138.39   300    5.9  242  75.11  0.94  15
IR     MTSAT   20131107  0513   18.86  -139.09   250   10.8  252  72.65  0.96  15
IR     MTSAT   20131107  0513   18.86  -139.89   250   11.4  267  77.90  1.00  15
IR     MTSAT   20131107  0513   19.21  -140.32   262   11.9  268  69.68  1.00  15
IR     MTSAT   20131107  0513   18.98  -142.08   868    9.9  129  66.05  0.81  15
IR     MTSAT   20131107  0513   18.82  -142.92   850   10.4  125  65.68  0.99  15
IR     MTSAT   20131107  0513   18.98  -143.20   868   11.5  116  68.71  0.92  15
IR     MTSAT   20131107  0513   18.87  -115.90   868   16.0   67  70.53  0.91  15
IR     MTSAT   20131107  0513   18.75  -116.15   868   15.5   67  69.40  0.93  15
IR     MTSAT   20131107  0513   18.97  -116.94   868   15.9   69  62.66  0.80  15
IR     MTSAT   20131107  0513   18.99  -119.30   850   16.9   74  71.51  1.00  15
IR     MTSAT   20131107  0513   19.01  -120.06   850   17.7   75  83.38  1.00  15
IR     MTSAT   20131107  0513   18.97  -121.99   887   12.5   76  79.02  0.97  15
IR     MTSAT   20131107  0513   18.37  -133.11   200    4.3  177  51.47  0.61  15
IR     MTSAT   20131107  0513   18.76  -133.67   175    7.6  239  67.13  0.62  15
IR     MTSAT   20131107  0513   18.45  -133.95   200    9.6  247  60.21  0.59  15
IR     MTSAT   20131107  0513   18.64  -135.33   287    6.4  158  54.04  0.56  15
IR     MTSAT   20131107  0513   18.63  -135.72   325    4.3  186  72.74  0.80  15
IR     MTSAT   20131107  0513   18.31  -137.18   187    5.5  182  49.69  0.91  15
IR     MTSAT   20131107  0513   18.35  -137.49   187    8.5  234  66.99  0.87  15
IR     MTSAT   20131107  0513   18.59  -138.02   287    9.0  244  61.05  0.97  15
IR     MTSAT   20131107  0513   18.74  -138.90   250   12.4  258  71.16  0.98  15
IR     MTSAT   20131107  0513   18.62  -139.36   250   12.4  260  68.86  0.93  15
IR     MTSAT   20131107  0513   18.78  -139.89   250   11.5  267  75.95  1.00  15
IR     MTSAT   20131107  0513   18.51  -141.81   400   10.7  119  76.48  0.60  15
IR     MTSAT   20131107  0513   18.35  -142.84   412   11.5  108  72.80  0.60  15
IR     MTSAT   20131107  0513   17.84  -127.88   150   13.2  200  67.15  0.99  15
IR     MTSAT   20131107  0513   17.87  -128.43   150   14.2  208  71.57  0.96  15
IR     MTSAT   20131107  0513   18.14  -132.89   237    4.6  173  64.05  0.60  15
IR     MTSAT   20131107  0513   18.12  -135.81   200    4.7  181  56.40  0.72  15
IR     MTSAT   20131107  0513   17.85  -136.12   200    4.5  181  56.45  0.59  15
IR     MTSAT   20131107  0513   18.12  -137.64   212    9.0  242  73.26  0.99  15
IR     MTSAT   20131107  0513   18.11  -137.95   212    9.2  247  73.17  0.98  15
IR     MTSAT   20131107  0513   18.00  -138.68   250    8.3  237  63.24  0.93  15
IR     MTSAT   20131107  0513   18.03  -139.06   237    9.0  241  64.17  0.98  15
IR     MTSAT   20131107  0513   18.04  -143.52   850   11.5  104  84.14  0.84  15
IR     MTSAT   20131107  0513   17.85  -144.66   906   12.5   92  76.29  1.00  15
IR     MTSAT   20131107  0513   17.78  -145.35   887   12.5   91  84.10  0.94  15
IR     MTSAT   20131107  0513   17.78  -145.39   887   12.5   91  84.20  0.98  15
IR     MTSAT   20131107  0513   17.33  -123.21   162    8.1  177  63.62  0.91  15
IR     MTSAT   20131107  0513   17.69  -127.14   162   12.8  202  63.87  0.99  15
IR     MTSAT   20131107  0513   17.33  -127.84   150    9.2  206  63.39  0.86  15
IR     MTSAT   20131107  0513   17.35  -129.64   150    7.4  213  59.71  0.82  15
IR     MTSAT   20131107  0513   17.48  -132.23   200    7.0  202  71.30  0.84  15
IR     MTSAT   20131107  0513   17.12  -133.13   187    7.0  210  74.47  0.94  15
IR     MTSAT   20131107  0513   17.20  -133.47   187    7.0  224  77.36  0.98  15
IR     MTSAT   20131107  0513   17.19  -134.73   187    5.1  209  68.91  0.70  15
IR     MTSAT   20131107  0513   17.53  -137.46   187    7.7  249  75.73  0.61  15
IR     MTSAT   20131107  0513   17.60  -140.01   212    4.5  276  63.19  0.82  15
IR     MTSAT   20131107  0513   17.45  -140.31   200    6.3  263  64.24  0.85  15
IR     MTSAT   20131107  0513   17.49  -141.34   237    4.6  298  69.08  0.79  15
IR     MTSAT   20131107  0513   17.53  -142.37   225    5.6  317  76.96  0.80  15
IR     MTSAT   20131107  0513   17.62  -145.23   887   12.5   92  81.84  0.96  15
IR     MTSAT   20131107  0513   17.54  -145.68   906   12.2   91  79.27  1.00  15
IR     MTSAT   20131107  0513   16.78  -121.07   237    6.2  183  66.53  0.91  15
IR     MTSAT   20131107  0513   17.13  -123.28   187    7.9  176  75.83  0.65  15
IR     MTSAT   20131107  0513   16.94  -128.07   150    6.6  239  48.28  0.57  15
IR     MTSAT   20131107  0513   16.73  -129.29   200    5.1   57  48.19  0.89  15
IR     MTSAT   20131107  0513   17.04  -129.82   162    5.1  218  58.46  0.82  15
IR     MTSAT   20131107  0513   16.78  -132.07   212    5.2  183  81.50  0.99  15
IR     MTSAT   20131107  0513   16.74  -132.19   212    5.8  183  77.96  0.99  15
IR     MTSAT   20131107  0513   16.78  -132.68   212    5.9  187  76.54  0.92  15
IR     MTSAT   20131107  0513   16.96  -133.71   187    6.2  229  71.33  0.99  15
IR     MTSAT   20131107  0513   17.04  -134.01   175    5.0  235  69.49  0.88  15
IR     MTSAT   20131107  0513   16.88  -134.51   225    4.5  199  75.72  0.66  15
IR     MTSAT   20131107  0513   16.64  -136.87   237    5.0  230  76.43  0.98  15
IR     MTSAT   20131107  0513   16.79  -137.29   200    7.0  243  72.30  0.96  15
IR     MTSAT   20131107  0513   16.60  -138.20   162    7.4  276  79.51  1.00  15
IR     MTSAT   20131107  0513   16.75  -138.76   237    9.0  285  56.50  0.93  15
IR     MTSAT   20131107  0513   16.79  -139.14   250    8.1  281  60.72  0.88  15
IR     MTSAT   20131107  0513   16.63  -139.71   250    4.4  292  74.20  0.77  15
IR     MTSAT   20131107  0513   16.83  -140.92   187    5.5  299  69.71  0.74  15
IR     MTSAT   20131107  0513   16.60  -142.12   275    4.7  333  62.08  0.64  15
IR     MTSAT   20131107  0513   16.88  -145.62   906   13.6   95  68.35  0.98  15
IR     MTSAT   20131107  0513   16.24  -120.68   212    9.9  159  72.96  0.89  15
IR     MTSAT   20131107  0513   16.18  -121.88   237    9.1  172  69.18  0.93  15
IR     MTSAT   20131107  0513   16.51  -122.78   150    9.1  153  58.37  0.90  15
IR     MTSAT   20131107  0513   16.45  -126.85   250    4.5   55  57.82  0.81  15
IR     MTSAT   20131107  0513   16.02  -130.73   200    6.2  131  71.56  0.70  15
IR     MTSAT   20131107  0513   16.28  -131.86   212    7.0  171  66.43  0.94  15
IR     MTSAT   20131107  0513   16.43  -132.16   212    7.0  179  66.11  0.93  15
IR     MTSAT   20131107  0513   16.34  -134.04   250    5.7   97  58.75  0.71  15
IR     MTSAT   20131107  0513   16.30  -134.64   262    4.6  135  71.60  0.87  15
IR     MTSAT   20131107  0513   15.99  -135.75   287   13.8  124  53.38  0.93  15
IR     MTSAT   20131107  0513   16.33  -136.61   287    9.8  119  56.88  0.73  15
IR     MTSAT   20131107  0513   16.06  -137.67   250   10.0  178  48.25  0.90  15
IR     MTSAT   20131107  0513   16.09  -138.28   225    4.4  253  79.71  0.72  15
IR     MTSAT   20131107  0513   16.25  -138.69   187    7.6  274  71.31  1.00  15
IR     MTSAT   20131107  0513   16.36  -139.56   200    5.5  317  61.58  0.56  15
IR     MTSAT   20131107  0513   16.02  -140.08   200    6.4  300  82.02  0.94  15
IR     MTSAT   20131107  0513   16.05  -140.57   225    7.0  306  69.05  0.97  15
IR     MTSAT   20131107  0513   16.32  -141.25   325    9.8   85  60.55  0.82  15
IR     MTSAT   20131107  0513   16.40  -141.52   337    8.2   77  77.87  0.84  15
IR     MTSAT   20131107  0513   16.13  -142.42   225    4.1  339  68.62  0.89  15
IR     MTSAT   20131107  0513   16.18  -144.27   887   12.8   90  76.56  0.60  15
IR     MTSAT   20131107  0513   16.26  -145.79   906   12.4   90  79.53  1.00  15
IR     MTSAT   20131107  0513   16.07  -117.78   162    8.4  163  73.16  0.84  15
IR     MTSAT   20131107  0513   15.77  -120.70   212    9.9  161  77.44  0.92  15
IR     MTSAT   20131107  0513   15.81  -120.73   225    9.9  161  79.75  0.89  15
IR     MTSAT   20131107  0513   15.87  -121.59   225    8.8  160  82.42  0.74  15
IR     MTSAT   20131107  0513   15.75  -122.17   150   14.7  153  76.65  0.97  15
IR     MTSAT   20131107  0513   15.89  -125.08   150   12.2  163  68.34  0.91  15
IR     MTSAT   20131107  0513   15.60  -126.96   200    4.7   79  59.73  0.63  15
IR     MTSAT   20131107  0513   15.43  -128.10   225    4.9   43  56.57  0.95  15
IR     MTSAT   20131107  0513   15.84  -129.27   225    7.8  106  57.20  0.94  15
IR     MTSAT   20131107  0513   15.91  -130.58   200    6.1  132  77.26  0.75  15
IR     MTSAT   20131107  0513   15.86  -131.04   212    7.8  137  67.93  0.63  15
IR     MTSAT   20131107  0513   15.43  -131.71   237    9.4  111  61.37  0.78  15
IR     MTSAT   20131107  0513   15.47  -132.40   225   10.8  121  54.97  0.80  15
IR     MTSAT   20131107  0513   15.46  -133.61   212    8.5  106  52.99  0.67  15
IR     MTSAT   20131107  0513   15.54  -133.76   262    9.0  118  67.97  0.87  15
IR     MTSAT   20131107  0513   15.42  -134.33   237    8.0  127  64.71  0.88  15
IR     MTSAT   20131107  0513   15.79  -137.15   312    7.9  126  67.15  0.71  15
IR     MTSAT   20131107  0513   15.36  -138.55   225    5.8  156  48.47  0.75  15
IR     MTSAT   20131107  0513   15.56  -138.92   175    4.7  265  62.03  0.76  15
IR     MTSAT   20131107  0513   15.48  -140.38   150    7.5  314  70.45  0.94  15
IR     MTSAT   20131107  0513   15.71  -141.10   187    6.8  310  77.81  0.98  15
IR     MTSAT   20131107  0513   15.48  -141.51   200    7.2  314  73.83  0.99  15
IR     MTSAT   20131107  0513   15.63  -142.53   162    6.0    0  64.99  0.90  15
IR     MTSAT   20131107  0513   15.48  -143.69   262    4.8   25  78.80  0.75  15
IR     MTSAT   20131107  0513   15.37  -144.18   225    4.1   12  70.91  0.74  15
IR     MTSAT   20131107  0513   15.07  -120.94   237   15.1  148  54.90  0.76  15
IR     MTSAT   20131107  0513   14.91  -121.20   212   14.2  147  61.47  0.98  15
IR     MTSAT   20131107  0513   15.08  -122.52   250    8.8   97  54.50  0.80  15
IR     MTSAT   20131107  0513   14.92  -122.98   150   20.1  139  55.48  0.99  15
IR     MTSAT   20131107  0513   14.96  -125.67   187    4.2   56  51.48  0.94  15
IR     MTSAT   20131107  0513   14.89  -128.33   175    5.0  142  64.37  0.97  15
IR     MTSAT   20131107  0513   15.15  -128.89   175    4.9  121  66.21  0.75  15
IR     MTSAT   20131107  0513   14.91  -129.83   200    9.5  110  73.14  0.98  15
IR     MTSAT   20131107  0513   14.95  -129.94   200    9.9  111  70.59  0.98  15
IR     MTSAT   20131107  0513   15.02  -130.93   212    9.6  106  69.49  0.91  15
IR     MTSAT   20131107  0513   15.25  -131.34   212    8.0  112  72.95  0.71  15
IR     MTSAT   20131107  0513   15.09  -131.84   225    7.8  113  78.70  0.79  15
IR     MTSAT   20131107  0513   15.23  -133.77   275    9.0  115  77.32  0.90  15
IR     MTSAT   20131107  0513   15.03  -134.38   287    9.9  127  74.80  0.97  15
IR     MTSAT   20131107  0513   14.80  -134.95   237   10.4  126  57.36  0.84  15
IR     MTSAT   20131107  0513   14.99  -135.14   250   14.0  121  47.81  0.62  15
IR     MTSAT   20131107  0513   14.91  -136.42   300   10.9  126  77.03  0.72  15
